,Player_Name,Bowler_Index,Bowler_price,Spinner,Pacer
29,Harbhajan Singh,1826.23080222,2.0,1.0,0.0
41,PP Chawla,1746.84949853,1.0,1.0,0.0
87,A Mishra,1679.89195437,1.5,1.0,0.0
8,P Kumar,1762.24198834,0.5,0.0,1.0
44,DJ Bravo,1529.95359672,2.0,0.0,1.0
51,R Vinay Kumar,1596.94567646,1.0,0.0,1.0
132,SL Malinga,1541.7714809000001,1.0,0.0,1.0
